1,विश्वकर्मा सी0सै0 स्कूल का बायां कक्ष
1,विश्वकर्मा सी0सै0 स्कूल का बायां मध्य कक्ष
1,विश्वकर्मा सी0सै0 स्कूल का दायां मध्य कक्ष
1,विश्वकर्मा सी0सै0 स्कूल का दायां कक्ष
2,उमा भारती व0मा0वि0 का बायां कक्ष
2,उमा भारती व0मा0वि0का मध्य कक्ष
2,उमा भारती व0मा0वि0का दायां कक्ष
3,जैन सी0सै0 स्कूल (बाल) का बायां कक्ष
3,जैन सी0सै0 स्कूल (बाल) मध्य कक्ष
3,जैन सी0सै0 स्कूल (बाल) दायां कक्ष
4,माता रमा बाई सामाजिक उत्थान संस्था आजाद नगर बायाँ कक्ष
4,माता रमा बाई सामाजिक उत्थान संस्था आजाद नगर बायाँ मध्य कक्ष
4,माता रमा बाई सामाजिक उत्थान संस्था आजाद नगर दायां मध्य कक्ष
4,माता रमा बाई सामाजिक उत्थान संस्था आजाद नगर दायां कक्ष
5,"रा0 प्राईमरी स्कूल, घीसा की ढ़ाणी का बायां कक्ष"
5,रा0 प्राईमरी स्कूल घीसा की ढ़ाणी का मध्य कक्ष
5,रा0 प्राईमरी स्कूल घीसा की ढ़ाणी का दायां कक्ष
6,के.एल.पी. कालेज का बायां कक्ष
6,के.एल.पी. कालेज का स्टाफ रुम
7,पंजाबी धर्मशाला बायाँ कक्ष न० 1
7,पंजाबी धर्मशाला बायाँ कक्ष न० 2
7,पंजाबी धर्मशाला मध्य कक्ष
8,ठाकुरदास अग्रवाल प्राईमरी स्कूल का बायां कक्ष
8,ठाकुरदास अग्रवाल प्राईमरी स्कूल मध्य कक्ष
8,ठाकुरदास अग्रवाल प्राईमरी स्कूल का दायां कक्ष
9,सनातन धर्म धर्मशाला का बायां कक्ष
9,सनातन धर्म धर्मशाला का दायां कक्ष
9,ठठेरान धर्मशाला का बायां कक्ष
9,ठठेरान धर्मशाला का दायां कक्ष
10,सैनी व0मा0वि0 बायां कक्ष
10,सैनी व0मा0वि0 मध्य कक्ष
10,सैनी व0मा0वि0 दायां कक्ष
11,"डी0 पी0 सी0, एस0 एस0 ए0 कार्यालय बायां कक्ष"
11,"डी0 पी0 सी0, एस0 एस0 ए0 कार्यालय मध्य कक्ष"
11,"डी0 पी0 सी0, एस0 एस0 ए0 कार्यालय दायां कक्ष"
12,"राव तुलाराम स्टेडियम, रेवाडी, हॉल पार्ट-1"
12,"राव तुलाराम स्टेडियम, रेवाडी, हॉल पार्ट-2"
12,"राव तुलाराम स्टेडियम, रेवाडी, हॉल पार्ट-3"
13,दिल्ली पब्लिक इंटरनेशनल स्कूल सन सिटी बायां कक्ष
13,दिल्ली पब्लिक इंटरनेशनल स्कूल सन सिटी दायाँ कक्ष
14,राजकीय कन्या वरिष्ट माध्यमिक विद्यालय बायां कक्ष
14,राजकीय कन्या वरिष्ट माध्यमिक विद्यालय मध्य कक्ष
14,राजकीय कन्या वरिष्ट माध्यमिक विद्यालय दायां कक्ष
15,रा0 सी0 सै0 स्कूल (बाल) का बायां कक्ष से दूसरा
15,रा0 सी0 सै0 स्कूल (बाल) का बायां कक्ष से तीसरा
15,रा0 सी0 सै0 स्कूल (बाल) नया भवन का बायां कक्ष
15,रा0 सी0 सै0 स्कूल (बाल) नया भवन का दायां कक्ष
15,रा0 सी0 सै0 स्कूल (बाल) का बायां कक्ष
16,रा0 क0 प्राथमिक स्कूल नजदीक पुरानी तहसील बायाँ कक्ष
16,रा0 क0 प्राथमिक स्कूल नजदीक पुरानी तहसील दायाँ कक्ष
17,मियांवाली पंचायत घर का बायां कक्ष
17,मियांवाली पंचायत घर का बायां मध्य कक्ष
17,मियांवाली पंचायत घर का दायां मध्य कक्ष
17,मियांवाली पंचायत घर का दायां कक्ष
18,नगर परिषद कार्यालय कमरा न0 113
18,"नगर परिषद कार्यालय ,मीटिंग हाल"
18,नगर परिषद कार्यालय टाउन हॉल कक्ष 1
18,नगर परिषद कार्यालय टाउन हॉल कक्ष 2
19,हिन्दू सी0सै0स्कूल माडल टाउन का बायां कक्ष
19,हिन्दू सी0सै0स्कूल माडल टाउन का मध्य कक्ष
19,हिन्दू सी0सै0स्कूल माडल टाउन का दायां कक्ष
20,"कार्यालय खण्ड़ विकास एवं पंचायत अधिकारी, एस डी ओ कार्यालय"
20,"कार्यालय खण्ड़ विकास एवं पंचायत अधिकारी, हॉल बायाँ"
20,"कार्यालय खण्ड़ विकास एवं पंचायत अधिकारी, हॉल दायाँ"
20,"कार्यालय खण्ड़ विकास एवं पंचायत अधिकारी,"
21,"शिशु शाला स्कूल, सैक्टर-3 का बायां कक्ष"
21,"शिशु शाला स्कूल, सैक्टर-3 का बायां मध्य कक्ष"
21,"शिशु शाला स्कूल, सैक्टर-3 का दायां मध्य कक्ष"
21,"शिशु शाला स्कूल, सैक्टर-3 का दायां कक्ष"
22,सरस्वती विद्या निकेतन व0मा0वि0 का बायां कक्ष
22,सरस्वती विद्या निकेतन व0मा0वि0 का मध्य कक्ष
22,सरस्वती विद्या निकेतन व0मा0वि0 का दायां कक्ष
23,कार्यालय मार्किट कमेटी बायां कक्ष
23,कार्यालय मार्किट कमेटी मध्य कक्ष
23,कार्यालय मार्किट कमेटी दायां कक्ष
24,जाटव चैपाल
24,रा0प्राईमरी स्कूल कुतुबपुर मौला का बायां कक्ष
24,रा0प्राईमरी स्कूल कुतुबपुर मौला का दायां कक्ष
25,राव बहादुर सिंह उच्च विद्यालय यादव नगर का बायां कक्ष
25,राव बहादुर सिंह उच्च विद्यालय यादव नगर का बायां मध्य कक्ष
25,राव बहादुर सिंह उच्च विद्यालय यादव नगर का दायां मध्य कक्ष
25,राव बहादुर सिंह उच्च विद्यालय यादव नगर का दायां कक्ष
26,रेलवे बारात घर का बायां कक्ष
26,रेलवे बारात घर का मध्य कक्ष
26,रेलवे बारात घर का दायां कक्ष
27,रा0 प्राईमरी स्कूल अजय नगर का बायां कक्ष
27,रा0 प्राईमरी स्कूल अजय नगर का मध्य कक्ष
27,रा0 प्राईमरी स्कूल अजय नगर का दायां कक्ष
28,"सामुदायिक भवन, इन्द्रा कालोनी, का बायां कक्ष"
28,"सामुदायिक भवन, इन्द्रा कालोनी, का दायां कक्ष"
29,"बी0 एल0 एम0 पब्लिक स्कूल, कालुवास रोड"
30,राव बिहारी लाल विद्यालय यादव नगर का बायां कक्ष
30,राव बिहारी लाल विद्यालय यादव नगर का दायां कक्ष
31,गोंसाई जी की धर्मशाला कुतुबपुर मोहल्ला का बायां कक्ष
31,गोंसाई जी की धर्मशाला कुतुबपुर मोहल्ला का दायां कक्ष
31,"धानक धर्मशाला कुतुबपुर मोहल्ला,"
32,गोमती पब्लिक उच्च विद्यालय आदर्श नगर बायां कक्ष
32,गोमती पब्लिक उच्च विद्यालय आदर्श नगर मध्य कक्ष
32,गोमती पब्लिक उच्च विद्यालय आदर्श नगर दायां कक्ष
